iso,name,show
Abdera,Abdera,1
Abydus,Abydus,1
Abydus(Troas),Abydus (Troas),1
Achaea,Achaea,1
Achaeum,Achaeum,1
Acragas,Acragas,1
Adana,Adana,1
Adramyteion(Mysia),Adramyteion (Mysia),1
Adramyteum(Mysia),Adramyteum (Mysia),1
Aegae,Aegae,1
Aegae(Aeolis),Aegae (Aeolis),1
Aegeae,Aegeae,1
Aegeae?,Aegeae?,1
Aegina,Aegina,0
Aegira,Aegira,1
Aegium,Aegium,1
AeliaCapitolina,Aelia Capitolina,1
AeliaCapitolina?,Aelia Capitolina?,1
Aenus,Aenus,1
Aetolia,Aetolia,1
Aezanis(Phrygia),Aezanis (Phrygia),1
AiKhanoum,Ai Khanoum,1
Aigai(Aiolis),Aigai (Aiolis),1
Aigina,Aigina,1
Aigion(Achaea),Aigion (Achaea),1
Ainianes(Thessaly),Ainianes (Thessaly),1
Akanthos,Akanthos,1
Ake-Ptolemais,Ake-Ptolemais,1
Ake-Ptolemais?,Ake-Ptolemais?,1
Akmoneia(Phrygia),Akmoneia (Phrygia),1
Akrasos(Lydia),Akrasos (Lydia),1
Alabanda(Caria),Alabanda (Caria),1
Aleppo,Aleppo,1
Alexandria,Alexandria,1
Alexandria(Troas),Alexandria (Troas),1
AlexandriaadIssum,Alexandria ad Issum,1
AlexandriaTroas,Alexandria Troas,1
Alexandria?,Alexandria?,1
Alinda(Caria),Alinda (Caria),1
Alyzia,Alyzia,1
Amasia(Pontus),Amasia (Pontus),1
Amastris(Paphlagonia),Amastris (Paphlagonia),1
Ambianum,Ambianum,1
Amiens,Amiens,1
Amisos(Pontos),Amisos (Pontos),1
Amisus,Amisus,1
Amisus(Pontus),Amisus (Pontus),1
Amphipolis,Amphipolis,1
Amyntas(Galatia),Amyntas (Galatia),1
Anazarbus,Anazarbus,1
Anchialos,Anchialos,1
Anchialus,Anchialus,1
Ancyra,Ancyra,1
Ancyra(Galatia),Ancyra (Galatia),1
Ancyra(Phrygia),Ancyra (Phrygia),1
Andros,Andros,1
Anemorion,Anemorion,1
Anemurium,Anemurium,1
Ankyra(Phrygia),Ankyra (Phrygia),1
Antandros,Antandros,1
Antandrus,Antandrus,1
Anthemusia,Anthemusia,1
Anthemusia(Ray,Iran?),Anthemusia (Ray, Iran?),1
Antigonea,Antigonea,1
Antigoneia,Antigoneia,1
Antioch,Antioch,1
Antioch,Antioch ,1
Antioch(Caria),Antioch (Caria),1
Antioch(Caria)?,Antioch (Caria)?,1
Antioch(Pisidia),Antioch (Pisidia),1
Antioch(Pisidia)?,Antioch (Pisidia)?,1
AntiochadMeandrum(Caria),Antioch ad Meandrum (Caria),1
AntiochMaeandrum,Antioch Maeandrum,1
Antioch?,Antioch?,1
AntiochiaadMaeandrum,Antiochia ad Maeandrum,1
Antiphellos(Lycia),Antiphellos (Lycia),1
Apamea,Apamea,1
Apamea?,Apamea?,1
Apameia(Phrygia),Apameia (Phrygia),1
Aphitis,Aphitis,0
Aphrodisias,Aphrodisias,1
Aphytis,Aphytis,1
Apollonia,Apollonia,1
ApolloniaPontica,Apollonia Pontica,1
ApolloniaSalbace,Apollonia Salbace,1
Apollonis(Lydia),Apollonis (Lydia),1
Aptera,Aptera,1
Aquilea,Aquilea,1
Aquileia,Aquileia,1
Aquileia?,Aquileia?,1
Aradus,Aradus,1
Arcadia,Arcadia,0
Arelate,Arelate,1
Argos,Argos,1
Argos(Argolis),Argos (Argolis),1
Arkadia,Arkadia,1
Arles,Arles,1
Arles?,Arles?,1
Arpi,Arpi,1
Arpi(Apulia),Arpi (Apulia),1
Arsamosta(Sophene),Arsamosta (Sophene),1
Arse(Sagunto,Valencia),Arse (Sagunto, Valencia),1
Arsinoe,Arsinoe,1
ArsinoiteNome,Arsinoite Nome,1
Ascalon,Ascalon,1
Ascalon?,Ascalon?,1
Asculum,Asculum,1
Asine,Asine,1
Asopus,Asopus,1
Aspendos,Aspendos,1
Aspendos(Pamphylia),Aspendos (Pamphylia),1
Aspendus(Pamphylia),Aspendus (Pamphylia),1
Assos(Troas),Assos (Troas),1
Atarneus,Atarneus,1
Atarneus(mysia),Atarneus (mysia),1
Athens,Athens,1
Athens/Imbros,Athens/Imbros,1
Athens/Lemnos,Athens/Lemnos,1
Athens/Skyros,Athens/Skyros,1
Atrax(Thessaly),Atrax (Thessaly),1
Atrebates,Atrebates,1
Attaea(Mysia),Attaea (Mysia),1
Attalea(Lydia),Attalea (Lydia),1
Attaleaa(Pamphylia),Attaleaa (Pamphylia),1
Attaleia,Attaleia,1
Attaleia(Pamphylia),Attaleia (Pamphylia),1
Attalia(Pamphylia),Attalia (Pamphylia),1
AugustaTraiana,Augusta Traiana,1
Autokane(Aiolis),Autokane (Aiolis),1
AxumiteKings,Axumite Kings,1
Axus,Axus,1
Babylon,Babylon,1
Bactria,Bactria,1
Bagis(Lydia),Bagis (Lydia),1
Bargasa(Caria),Bargasa (Caria),1
Baris(Pisidia),Baris (Pisidia),1
Beroea,Beroea,1
Bertyus,Bertyus,1
Berytos,Berytos,1
Berytus,Berytus,1
BethShean/Nysa,BethShean/Nysa,1
Bilbilis,Bilbilis,1
Bilbilis(Zaragoza),Bilbilis (Zaragoza),1
Birytus,Birytus,1
Bithynia,Bithynia,1
Bizya,Bizya,1
Blaundus,Blaundus,1
Boea,Boea,1
Boeotia,Boeotia,1
Boetia,Boetia,1
Bolskan(Huesca),Bolskan (Huesca),1
Bostra,Bostra,1
Bottiaia,Bottiaia,1
Boura(Achaea),Boura (Achaea),1
Brettii,Brettii,1
Brundisium,Brundisium,1
Bruttium,Bruttium,1
Buthrotum,Buthrotum,1
Byblus,Byblus,1
Byzantion,Byzantion,1
Byzantium,Byzantium,1
CaesarAugusta(Saragosse),Caesar Augusta (Saragosse),1
CaesarAugusta(Zaragonza),Caesar Augusta (Zaragonza),1
Caesarea,Caesarea,1
CaesareaadLibanum,Caesarea ad Libanum,1
CaesareaMaritima,Caesarea Maritima,1
CaesareaMaritima?,Caesarea Maritima?,1
CaesareaPaneas(Philippi),Caesarea Paneas (Philippi),1
CaesareaPaneas(Phillipi),Caesarea Paneas (Phillipi),1
Caesarea?,Caesarea?,1
Calagurris,Calagurris,1
Calagurris(Calahorra),Calagurris (Calahorra),1
Calagurris(LaRioja),Calagurris (La Rioja),1
Calchedon(Bithynia),Calchedon (Bithynia),1
Callatis,Callatis,1
Campania,Campania,1
Camulodunum,Camulodunum,1
Canata,Canata,1
Canatha,Canatha,1
Canatha(Kanata),Canatha (Kanata),1
Caphyae,Caphyae,1
Caria?,Caria?,1
Carne/Karne,Carne/Karne,1
Carrhae,Carrhae,1
Carrhae?,Carrhae?,1
Carteia,Carteia,1
Carthage,Carthage,1
CarthagoNova,Carthago Nova,1
CarthagoNova(Cartagena),Carthago Nova (Cartagena),1
Castulo,Castulo,1
Castuo,Castuo,1
Catania,Catania,1
Catuvellauni,Catuvellauni,1
Caystriani,Caystriani,1
Celsa,Celsa,1
Chalcedon,Chalcedon,1
Chalcis,Chalcis,1
Chalcis(Galatia),Chalcis (Galatia),1
Chalkis(Euboia),Chalkis (Euboia),1
Characene,Characene,1
Characene(SpasinouCharax),Characene (Spasinou Charax),1
Charax,Charax,1
Chios,Chios,1
Chios(Ionia),Chios (Ionia),1
Cibyra(Phrygia),Cibyra (Phrygia),1
CilbianiInferiores,Cilbiani Inferiores,1
Cirta,Cirta,1
CisalpineCelts,Cisalpine Celts,1
Clazomenae,Clazomenae,1
Clazomenae(Ionia),Clazomenae (Ionia),1
Cleonae,Cleonae,1
Clunia(Burgos),Clunia (Burgos),1
Cnidus,Cnidus,1
Coela,Coela,1
Coela(Chersonese),Coela (Chersonese),1
CoinoftheJews,Coin of the Jews,1
CoinsoftheJews,Coins of the Jews,1
Cologne,Cologne,1
Colone(Messenia?),Colone (Messenia?),1
ColoniaPatricia,Colonia Patricia,1
ColoniaRomula,Colonia Romula,1
Colophon,Colophon,1
Colophon(Ionia),Colophon (Ionia),1
Colybrassos,Colybrassos,1
Colybrassus,Colybrassus,1
Comana(Pontus),Comana (Pontus),1
Commagene,Commagene,1
CommanaPontica,Commana Pontica,1
Conana(Pisidia),Conana (Pisidia),1
Constantinople,Constantinople,1
Constantinople?,Constantinople?,1
Corcyra,Corcyra,1
Corinth,Corinth,1
Corinth(Corinthia),Corinth (Corinthia),1
Corycus,Corycus,1
Cos,Cos,1
Cos(Caria),Cos (Caria),1
Cosa,Cosa,1
Curiosolitae(Brittany),Curiosolitae (Brittany),1
Cyme,Cyme,1
Cyme(aeolis),Cyme (aeolis),1
Cyme(Aeolis),Cyme (Aeolis),1
Cyme(Mysia),Cyme (Mysia),1
Cyparissia,Cyparissia,1
Cyrenaica,Cyrenaica,1
Cyrene,Cyrene,1
Cyrene(Cyrenaica),Cyrene (Cyrenaica),1
Cyrrhus,Cyrrhus,1
Cyzicus,Cyzicus,1
Cyzicus?,Cyzicus?,1
Daldis,Daldis,1
Damascus,Damascus,1
Damascus?,Damascus?,1
Dardanus,Dardanus,1
Delos,Delos,1
Delphi,Delphi,1
Deultum,Deultum,1
Dia(Bithynia),Dia (Bithynia),1
Diocaesarea,Diocaesarea,1
Diocaesaria?,Diocaesaria?,1
Dion,Dion,1
Dionysopolis,Dionysopolis,1
Dioshieron(Lydia),Dioshieron (Lydia),1
Doliche,Doliche,1
Dora,Dora,1
Dora?,Dora?,1
Dura-Europos,Dura-Europos,1
Dyrrhachion,Dyrrhachion,1
Dyrrhacium,Dyrrhacium,1
EasternEurope,Eastern Europe,1
EasternMint,Eastern Mint,1
Ebora,Ebora,1
Ebusus,Ebusus,1
Ecbatana,Ecbatana,1
Ecbatana?,Ecbatana?,1
Edessa,Edessa,1
Egypt,Egypt,1
Elaea(Aeolis),Elaea (Aeolis),1
Elaia(Aeolis),Elaia (Aeolis),1
Elaia(Aiolis),Elaia (Aiolis),1
Elaiussa,Elaiussa,1
Elis,Elis,1
Elymais(Elam,Susiana),Elymais (Elam, Susiana),1
Emerita,Emerita,1
Emesa,Emesa,1
Ephesus,Ephesus,1
Ephesus(Ionia),Ephesus (Ionia),1
Ephesus?,Ephesus?,1
Epidauros,Epidauros,1
Epidaurus,Epidaurus,1
Epikteteis(Phrygia),Epikteteis (Phrygia),1
Epiphania,Epiphania,1
Epirus,Epirus,1
Ercavica,Ercavica,1
Eresus(Lesbos),Eresus (Lesbos),1
Eretria,Eretria,1
Eretria(Euboia),Eretria (Euboia),1
Erythrae,Erythrae,1
Erythrai(Ionia),Erythrai (Ionia),1
Esbus?,Esbus?,1
Etenna(Pisidia),Etenna (Pisidia),1
Euboia,Euboia,1
Eucarpeia,Eucarpeia,1
Eucarpeia(Phrygia),Eucarpeia (Phrygia),1
Euesperides,Euesperides,1
Eumeneia,Eumeneia,1
Eumeneia(Phrygia),Eumeneia (Phrygia),1
Flaviopolis,Flaviopolis,1
Gaba,Gaba,1
Gabala,Gabala,1
Gadara,Gadara,1
Galatia,Galatia,1
Gambreion,Gambreion,1
Gargara,Gargara,1
Gaza,Gaza,1
Gaza?,Gaza?,1
Gerasa,Gerasa,1
Gergis,Gergis,1
GermaniciaCaesarea,Germanicia Caesarea,1
Germanikopolis(Paphlagonia),Germanikopolis (Paphlagonia),1
Germe,Germe,1
Germe(Mysia),Germe (Mysia),1
Gomphoi(Thessaly),Gomphoi (Thessaly),1
GordusJulia,Gordus Julia,1
Grimenothyrae?(Phrygia),Grimenothyrae? (Phrygia),1
Gyrton(Thessaly),Gyrton (Thessaly),1
Gytheium,Gytheium,1
Hadrianopolis,Hadrianopolis,1
Halicarnassus,Halicarnassus,1
Halicarnassus(Caria),Halicarnassus (Caria),0
Halos(Thessaly),Halos (Thessaly),1
Harpagion(Caria),Harpagion (Caria),1
Heliopolis,Heliopolis,1
Hephaestia(Lemnos),Hephaestia (Lemnos),1
Hephaistia(Lemnos),Hephaistia (Lemnos),1
Heraclea,Heraclea,1
Heraclea?,Heraclea?,1
Heraea(Arcadia?),Heraea (Arcadia?),1
Heraia(Arkadia),Heraia (Arkadia),1
Hermione,Hermione,1
Hermocapelia,Hermocapelia,1
Hermokapeleia,Hermokapeleia,1
Hermokapelia(Lydia),Hermokapelia (Lydia),1
HermopoliteNome,Hermopolite Nome,1
Hierapolis,Hierapolis,1
HierapolisSebaste,Hierapolis Sebaste,1
Hierocaesarea,Hierocaesarea,1
Hierocaesarea(Lydia),Hierocaesarea (Lydia),1
Hierocaesareia,Hierocaesareia,1
HieropolisCastabala,Hieropolis Castabala,1
HieropolisKastabala,Hieropolis Kastabala,1
Hieropolis-Castabala,Hieropolis-Castabala,1
Histiaea,Histiaea,1
Histiaea(Euboea),Histiaea (Euboea),1
Histiaia(Euboia),Histiaia (Euboia),1
Histria,Histria,1
Hypaepa,Hypaepa,1
Hypaipa(Lydia),Hypaipa (Lydia),1
Hyrcanis,Hyrcanis,1
Iasus(Caria),Iasus (Caria),1
Ieso(Guisona,Lerida),Ieso (Guisona, Lerida),1
Ikalesken(Iniesta,Cuenca),Ikalesken (Iniesta, Cuenca),1
Ilici(Alicante),Ilici (Alicante),1
Ilion(Troas),Ilion (Troas),1
Ilium,Ilium,1
Illium(Troas),Illium (Troas),1
Imbros,Imbros,1
Iolla(Mysia),Iolla (Mysia),1
Ionia,Ionia,1
Iotape,Iotape,1
Ioulis,Ioulis,1
Irippo,Irippo,1
Italica,Italica,1
Jaffa,Jaffa,1
Jerash,Jerash,1
Jerusalem,Jerusalem,1
Jewish,Jewish,1
Joppa,Joppa,1
Judea,Judea,1
Karthaia,Karthaia,1
Karystos(Euboia),Karystos (Euboia),1
Kasai,Kasai,1
Kelse(Zaragoza),Kelse (Zaragoza),1
Keos,Keos,1
Klazomenai(Ionia),Klazomenai (Ionia),1
Kleitor(Arkadia),Kleitor (Arkadia),1
Kleonai,Kleonai,1
Knidos(Karia),Knidos (Karia),1
Knossos,Knossos,1
Koln?,Koln?,1
KonterbiaKarbika(Cuenca),Konterbia Karbika (Cuenca),1
Koressia,Koressia,1
Korkyra(Epirus),Korkyra (Epirus),1
Kos,Kos,1
Kos(Caria),Kos (Caria),1
Kourion?,Kourion?,1
Kragos(Lycia),Kragos (Lycia),1
Kranion(Kephallenia),Kranion (Kephallenia),1
Krannon(Thessaly),Krannon (Thessaly),1
Kremna(Pisidia),Kremna (Pisidia),1
Kroton,Kroton,1
Kyenai(Lycia),Kyenai (Lycia),1
Kyme(Aeolis),Kyme (Aeolis),1
Kyparissia,Kyparissia,1
Kythera,Kythera,1
Kythnos,Kythnos,1
Kyzikos(Mysia),Kyzikos (Mysia),1
Lacedaemon,Lacedaemon,1
Laerte,Laerte,1
Laertes,Laertes,1
Lakedaimon(Laconia),Lakedaimon (Laconia),1
Lakine(Zaragoza),Lakine (Zaragoza),1
Lamia(Thessaly),Lamia (Thessaly),1
Lampascacus,Lampascacus,1
Lampsacus,Lampsacus,1
Lampsacus(Mysia),Lampsacus (Mysia),1
Lampsakos,Lampsakos,1
Lampsakos(Mysia),Lampsakos (Mysia),1
Lampsakos?,Lampsakos?,1
Laodicea(Phrygia),Laodicea (Phrygia),1
